SECCION,sexo,edad,entrevistas
1602,Hombre,18 a 24 años,6
1602,Hombre,25 a 34 años,8
1602,Hombre,35 a 44 años,6
1602,Hombre,45 a 54 años,5
1602,Hombre,55 a 64 años,3
1602,Hombre,65 años o más,2
1602,Mujer,18 a 24 años,6
1602,Mujer,25 a 34 años,9
1602,Mujer,35 a 44 años,8
1602,Mujer,45 a 54 años,6
1602,Mujer,55 a 64 años,3
1602,Mujer,65 años o más,2
1611,Hombre,18 a 24 años,5
1611,Hombre,25 a 34 años,8
1611,Hombre,35 a 44 años,6
1611,Hombre,45 a 54 años,5
1611,Hombre,55 a 64 años,3
1611,Hombre,65 años o más,3
1611,Mujer,18 a 24 años,5
1611,Mujer,25 a 34 años,8
1611,Mujer,35 a 44 años,7
1611,Mujer,45 a 54 años,6
1611,Mujer,55 a 64 años,4
1611,Mujer,65 años o más,3
1616,Hombre,18 a 24 años,5
1616,Hombre,25 a 34 años,7
1616,Hombre,35 a 44 años,6
1616,Hombre,45 a 54 años,5
1616,Hombre,55 a 64 años,3
1616,Hombre,65 años o más,2
1616,Mujer,18 a 24 años,6
1616,Mujer,25 a 34 años,8
1616,Mujer,35 a 44 años,8
1616,Mujer,45 a 54 años,7
1616,Mujer,55 a 64 años,4
1616,Mujer,65 años o más,3
1622,Hombre,18 a 24 años,6
1622,Hombre,25 a 34 años,8
1622,Hombre,35 a 44 años,6
1622,Hombre,45 a 54 años,5
1622,Hombre,55 a 64 años,3
1622,Hombre,65 años o más,2
1622,Mujer,18 a 24 años,6
1622,Mujer,25 a 34 años,8
1622,Mujer,35 a 44 años,8
1622,Mujer,45 a 54 años,6
1622,Mujer,55 a 64 años,3
1622,Mujer,65 años o más,2
1624,Hombre,18 a 24 años,5
1624,Hombre,25 a 34 años,8
1624,Hombre,35 a 44 años,7
1624,Hombre,45 a 54 años,4
1624,Hombre,55 a 64 años,3
1624,Hombre,65 años o más,3
1624,Mujer,18 a 24 años,5
1624,Mujer,25 a 34 años,8
1624,Mujer,35 a 44 años,8
1624,Mujer,45 a 54 años,5
1624,Mujer,55 a 64 años,3
1624,Mujer,65 años o más,3
1638,Hombre,18 a 24 años,6
1638,Hombre,25 a 34 años,7
1638,Hombre,35 a 44 años,6
1638,Hombre,45 a 54 años,5
1638,Hombre,55 a 64 años,3
1638,Hombre,65 años o más,2
1638,Mujer,18 a 24 años,6
1638,Mujer,25 a 34 años,8
1638,Mujer,35 a 44 años,8
1638,Mujer,45 a 54 años,6
1638,Mujer,55 a 64 años,3
1638,Mujer,65 años o más,2
1640,Hombre,18 a 24 años,6
1640,Hombre,25 a 34 años,7
1640,Hombre,35 a 44 años,5
1640,Hombre,45 a 54 años,6
1640,Hombre,55 a 64 años,4
1640,Hombre,65 años o más,2
1640,Mujer,18 a 24 años,6
1640,Mujer,25 a 34 años,7
1640,Mujer,35 a 44 años,6
1640,Mujer,45 a 54 años,7
1640,Mujer,55 a 64 años,4
1640,Mujer,65 años o más,4
1644,Hombre,18 a 24 años,5
1644,Hombre,25 a 34 años,6
1644,Hombre,35 a 44 años,6
1644,Hombre,45 a 54 años,4
1644,Hombre,55 a 64 años,5
1644,Hombre,65 años o más,3
1644,Mujer,18 a 24 años,4
1644,Mujer,25 a 34 años,8
1644,Mujer,35 a 44 años,7
1644,Mujer,45 a 54 años,6
1644,Mujer,55 a 64 años,6
